Institute,Program,Predicted Closing Rank
"National Institute of Technology, Patna","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Patna","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Hamirpur","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Civil Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Civil Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Mechanical Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Computer Science and Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Electrical Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Arunachal Pradesh","Computer Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Chemical Engineering (4 Years, B.Tech)",23557
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Chemical Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Mechanical Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Information Technology (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Mechanical Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Electrical Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Computer Science and Engineering (4 Years, B.Tech)",23557
"Motilal Nehru National Institute of Technology, Allahabad","Civil Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Computer Engineering (4 Years, B.Tech)",23557
"Malaviya National Institute of Technology, Jaipur","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Information Technology (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Computer Science and Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Mechanical Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Civil Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Electrical Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Chemical Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"Maulana Azad National Institute of Technology, Bhopal","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Jamshedpur","Computer Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Information Technology (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Metallurgical and Materials Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Electrical and Electronics Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Chemical Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Civil Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Mechanical Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Electrical Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Computer Science and Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Jamshedpur","Electronics and Communication Engineering (4 Years, B.Tech)",23718
"National Institute of Technology, Andhra Pradesh","Information Technology (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Computer Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Computer Science and Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Mechanical Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Electrical Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Chemical Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Electrical and Electronics Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Metallurgical and Materials Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Andhra Pradesh","Civil Engineering (4 Years, B.Tech)",24859
"National Institute of Technology, Uttarakhand","Computer Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Metallurgical and Materials Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Electrical and Electronics Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Chemical Engineering (4 Years, B.Tech)",29110
"National Institute of Technology, Uttarakhand","Electrical Engineering (4 Years, B.Tech)",29110
